date,mag,lat,lon
2021-03-04 12:36:16,4.6,39.7457,22.1311
2021-03-04 20:57:31,4.7,34.1448,80.3638
2021-03-04 21:38:19,5.8,39.7865,22.1157
2021-03-04 21:45:27,4.5,39.7931,21.9916
2021-03-04 22:23:51,5.5,39.8812,21.9795
2021-03-04 22:31:32,4.6,39.802,22.0039
2021-03-04 23:03:09,4.6,39.7751,22.1766
2021-03-05 12:59:59,4.6,39.7964,22.0456
2021-03-05 13:01:13,4.5,39.8056,21.9612
2021-03-05 17:10:53,3.8,36.0482,69.1101
2021-03-06 00:52:15,4.2,40.8254,69.1644
2021-03-06 16:01:00,4.4,36.6641,69.3922
2021-03-06 19:36:19,4.5,39.6816,22.2378
2021-03-06 22:26:48,4.0,37.5347,72.3385
2021-03-06 22:47:41,4.4,39.8399,22.0772
2021-03-06 23:26:42,4.1,36.4149,71.1581
2021-03-07 02:53:25,4.3,39.1495,70.4301
2021-03-07 15:29:52,4.0,36.5574,71.5065
2021-03-08 04:56:10,4.3,38.3763,22.0021
2021-03-08 21:00:47,4.3,39.6448,22.2201
2021-03-08 21:34:22,4.4,39.7218,22.0665
2021-03-09 04:52:04,4.2,36.2447,71.4029
2021-03-09 07:30:31,4.8,34.1743,25.9344
2021-03-09 14:15:01,4.6,25.3809,95.0793
2021-03-09 19:28:29,4.5,31.0997,50.9558
2021-03-10 00:06:48,4.7,36.4189,70.6937
2021-03-10 23:30:18,4.7,34.3007,58.1958
2021-03-11 02:19:30,4.2,36.4818,70.927
2021-03-11 05:34:14,4.5,22.6746,94.565
2021-03-11 08:46:27,4.0,38.4996,45.0356
2021-03-11 11:52:32,4.5,38.8146,20.4858
2021-03-11 17:19:40,4.5,39.6844,22.2651
2021-03-12 08:57:01,4.1,39.6645,43.7922
2021-03-12 10:05:13,4.5,51.4024,100.4494
2021-03-12 15:57:50,5.6,39.8931,22.0875
2021-03-12 16:07:50,4.3,39.7312,22.0044
2021-03-12 18:00:20,4.2,39.7992,22.2098
2021-03-13 00:17:09,4.6,41.6223,20.7274
2021-03-13 00:28:42,4.2,41.6507,20.6874
2021-03-13 06:25:49,4.1,39.7916,22.0534
2021-03-13 12:46:17,4.1,42.5804,43.3863
2021-03-13 15:30:24,4.4,37.4577,69.5913
2021-03-13 18:09:13,4.1,39.864,22.1084
2021-03-13 23:09:23,4.1,36.0392,21.9177
2021-03-14 00:11:10,4.1,39.8545,22.0309
2021-03-14 13:25:59,4.9,41.8825,81.1773
2021-03-14 15:20:02,4.5,41.1407,83.541
2021-03-14 15:54:10,5.0,28.1249,56.8186
2021-03-14 19:54:22,4.5,38.3432,56.9923
2021-03-15 00:36:23,4.0,34.1576,45.6628
2021-03-15 00:52:50,4.1,34.208,45.5762
2021-03-15 01:51:15,4.0,34.2243,45.5326
2021-03-15 04:55:48,4.4,37.1044,28.7649
2021-03-15 18:43:38,4.9,39.7982,22.1514
2021-03-15 21:33:44,4.6,35.2868,6.2506
2021-03-16 16:16:08,4.6,30.1485,86.3698
2021-03-17 09:27:17,4.5,44.4519,80.9253
2021-03-18 00:49:52,4.5,36.4899,6.7463
2021-03-18 03:04:06,6.0,36.9206,5.2014
2021-03-18 03:14:21,4.6,36.9455,5.2122
2021-03-18 03:17:05,5.0,36.9107,5.3143
2021-03-18 03:33:27,4.7,36.8702,5.23
2021-03-18 04:10:34,4.2,50.6795,86.9462
2021-03-18 11:09:49,4.4,37.6079,57.1406
2021-03-18 12:51:35,3.3,38.8363,-9.102
2021-03-18 14:53:59,4.4,37.4231,72.1824
2021-03-18 19:21:43,4.4,36.9558,5.2711
2021-03-19 05:48:22,3.9,36.5637,6.7925
2021-03-19 09:11:27,5.7,31.9246,92.9151
2021-03-19 13:57:47,4.4,31.8511,103.7118
2021-03-19 21:04:10,4.3,31.9252,93.017
2021-03-20 08:52:00,4.2,39.7819,39.0541
2021-03-20 10:43:06,4.5,36.9722,71.3458
2021-03-20 18:30:22,5.2,34.7094,83.4724
2021-03-21 01:50:39,4.7,35.2173,27.5065
2021-03-21 15:22:37,4.2,26.6195,92.5148
2021-03-21 17:18:03,4.6,36.4722,71.2033
2021-03-21 20:15:54,4.3,39.7694,22.0889
2021-03-22 17:51:51,4.5,31.5079,84.831
2021-03-22 18:40:44,4.6,28.2935,93.7808
2021-03-22 20:23:35,5.0,31.9664,92.9084
2021-03-23 03:08:03,4.4,40.09,20.9964
2021-03-23 15:06:47,4.3,33.7632,48.5339
2021-03-23 21:56:46,4.2,36.5077,68.0699
2021-03-23 22:36:10,4.2,36.721,71.5277
2021-03-24 00:14:18,5.3,41.8177,81.1623
2021-03-24 03:04:35,4.0,41.6366,81.1837
2021-03-24 16:14:14,4.3,41.7855,81.155
2021-03-25 02:23:54,4.5,36.8879,5.2734
2021-03-25 03:28:53,4.3,17.7099,94.1714
2021-03-25 05:37:14,4.6,36.8311,5.1854
2021-03-26 03:18:33,4.3,35.4265,91.1933
2021-03-26 10:15:29,4.2,28.1667,104.8484
2021-03-26 13:37:17,4.2,36.5762,70.8919
2021-03-26 22:00:43,4.0,36.3655,70.6382
2021-03-26 22:02:07,5.0,27.6289,92.6692
2021-03-27 02:08:30,4.6,40.8216,83.291
2021-03-27 16:47:55,5.5,42.4479,16.0496
2021-03-27 17:01:03,4.4,42.4478,16.074
2021-03-27 20:24:15,4.5,35.5062,89.4991
2021-03-28 15:47:11,4.4,27.7926,64.7002
