dt,average
2005-09-01,1773.2
2005-10-01,1778.6
2005-11-01,1781.1
2005-12-01,1780.1
2006-01-01,1779.4
2006-02-01,1779.4
2006-03-01,1777.4
2006-04-01,1776.1
2006-05-01,1775.0
2006-06-01,1769.3
2006-07-01,1764.2
2006-08-01,1767.2
2006-09-01,1774.6
2006-10-01,1778.2
2006-11-01,1779.0
2006-12-01,1779.9
2007-01-01,1779.2
2007-02-01,1778.7
2007-03-01,1780.3
2007-04-01,1781.1
2007-05-01,1779.4
2007-06-01,1775.6
2007-07-01,1772.6
2007-08-01,1777.2
2007-09-01,1785.9
2007-10-01,1789.8
2007-11-01,1789.5
2007-12-01,1788.2
2008-01-01,1786.7
2008-02-01,1785.8
2008-03-01,1786.1
2008-04-01,1786.8
2008-05-01,1785.2
2008-06-01,1780.4
2008-07-01,1777.6
2008-08-01,1781.1
2008-09-01,1787.7
2008-10-01,1793.6
2008-11-01,1797.3
2008-12-01,1796.7
2009-01-01,1795.1
2009-02-01,1795.7
2009-03-01,1796.1
2009-04-01,1795.6
2009-05-01,1792.4
2009-06-01,1786.9
2009-07-01,1784.9
2009-08-01,1788.8
2009-09-01,1794.8
2009-10-01,1798.0
2009-11-01,1797.9
2009-12-01,1796.7
2010-01-01,1797.1
2010-02-01,1798.8
2010-03-01,1799.4
2010-04-01,1799.6
2010-05-01,1797.7
2010-06-01,1792.5
2010-07-01,1789.4
2010-08-01,1794.1
2010-09-01,1801.8
2010-10-01,1806.5
2010-11-01,1807.0
2010-12-01,1803.6
2011-01-01,1800.5
2011-02-01,1800.2
2011-03-01,1801.0
2011-04-01,1802.9
2011-05-01,1803.3
2011-06-01,1799.2
2011-07-01,1796.1
2011-08-01,1799.0
2011-09-01,1804.0
2011-10-01,1809.5
2011-11-01,1812.3
2011-12-01,1810.0
2012-01-01,1807.3
2012-02-01,1808.2
2012-03-01,1809.9
2012-04-01,1808.4
2012-05-01,1804.7
2012-06-01,1800.9
2012-07-01,1799.2
2012-08-01,1803.2
2012-09-01,1810.1
2012-10-01,1814.7
2012-11-01,1815.9
2012-12-01,1814.6
2013-01-01,1814.1
2013-02-01,1814.2
2013-03-01,1813.3
2013-04-01,1812.8
2013-05-01,1811.9
2013-06-01,1808.4
2013-07-01,1805.7
2013-08-01,1808.4
2013-09-01,1814.3
2013-10-01,1818.5
2013-11-01,1820.4
2013-12-01,1819.4
2014-01-01,1816.9
2014-02-01,1816.4
2014-03-01,1818.1
2014-04-01,1820.9
2014-05-01,1822.0
2014-06-01,1818.4
2014-07-01,1815.6
2014-08-01,1819.8
2014-09-01,1827.0
2014-10-01,1831.2
2014-11-01,1833.1
2014-12-01,1833.5
2015-01-01,1832.9
2015-02-01,1832.7
2015-03-01,1833.1
2015-04-01,1833.2
2015-05-01,1831.8
2015-06-01,1827.3
2015-07-01,1824.8
2015-08-01,1829.2
2015-09-01,1836.2
2015-10-01,1841.5
2015-11-01,1844.7
2015-12-01,1844.9
2016-01-01,1842.4
2016-02-01,1841.6
2016-03-01,1843.0
2016-04-01,1843.7
2016-05-01,1842.1
2016-06-01,1837.9
2016-07-01,1834.2
2016-08-01,1836.8
2016-09-01,1844.3
2016-10-01,1849.9
2016-11-01,1851.5
2016-12-01,1851.1
2017-01-01,1849.8
2017-02-01,1848.6
2017-03-01,1848.3
2017-04-01,1848.6
2017-05-01,1847.2
2017-06-01,1843.0
2017-07-01,1840.4
2017-08-01,1844.7
2017-09-01,1852.8
2017-10-01,1858.1
2017-11-01,1858.7
2017-12-01,1856.7
2018-01-01,1854.5
2018-02-01,1855.0
2018-03-01,1856.8
2018-04-01,1856.7
2018-05-01,1854.8
2018-06-01,1852.0
2018-07-01,1849.0
2018-08-01,1851.9
2018-09-01,1860.5
2018-10-01,1865.7
2018-11-01,1866.3
2018-12-01,1866.0
2019-01-01,1865.0
2019-02-01,1865.0
2019-03-01,1866.3
2019-04-01,1865.3
2019-05-01,1861.9
2019-06-01,1858.8
2019-07-01,1858.4
2019-08-01,1863.0
2019-09-01,1870.8
2019-10-01,1875.3
2019-11-01,1875.5
2019-12-01,1875.0
2020-01-01,1873.9
2020-02-01,1873.4
2020-03-01,1874.9
2020-04-01,1875.8
2020-05-01,1874.3
2020-06-01,1872.0
2020-07-01,1871.6
2020-08-01,1876.6
2020-09-01,1884.7
2020-10-01,1890.0
2020-11-01,1891.7
2020-12-01,1892.1
2021-01-01,1890.6
2021-02-01,1888.3
2021-03-01,1888.8
2021-04-01,1891.3
2021-05-01,1891.7
2021-06-01,1888.6
2021-07-01,1886.7
2021-08-01,1893.1
2021-09-01,1900.5
