dt,average
2002-11-01,1779.5
2002-12-01,1779.65
2003-01-01,1777.54
2003-02-01,1774.82
2003-03-01,1774.85
2003-04-01,1775.81
2003-05-01,1774.44
2003-06-01,1771.69
2003-07-01,1770.73
2003-08-01,1774.29
2003-09-01,1780.55
2003-10-01,1784.7
2003-11-01,1785.27
2003-12-01,1783.56
2004-01-01,1780.87
2004-02-01,1779.96
2004-03-01,1780.97
2004-04-01,1780.72
2004-05-01,1777.56
2004-06-01,1772.3
2004-07-01,1768.06
2004-08-01,1769.77
2004-09-01,1775.49
2004-10-01,1779.7
2004-11-01,1780.46
2004-12-01,1778.37
2005-01-01,1776.35
2005-02-01,1775.81
2005-03-01,1775.45
2005-04-01,1774.59
2005-05-01,1772.22
2005-06-01,1768.54
2005-07-01,1766.27
2005-08-01,1768.02
2005-09-01,1773.08
2005-10-01,1778.5
2005-11-01,1781.22
2005-12-01,1780.28
2006-01-01,1779.56
2006-02-01,1779.47
2006-03-01,1777.38
2006-04-01,1776.14
2006-05-01,1774.96
2006-06-01,1769.3
2006-07-01,1764.2
2006-08-01,1767.19
2006-09-01,1774.54
2006-10-01,1778.24
2006-11-01,1779.06
2006-12-01,1779.93
2007-01-01,1779.17
2007-02-01,1778.58
2007-03-01,1780.29
2007-04-01,1781.12
2007-05-01,1779.42
2007-06-01,1775.61
2007-07-01,1772.63
2007-08-01,1777.19
2007-09-01,1785.86
2007-10-01,1789.86
2007-11-01,1789.51
2007-12-01,1788.17
2008-01-01,1786.69
2008-02-01,1785.8
2008-03-01,1786.16
2008-04-01,1786.89
2008-05-01,1785.19
2008-06-01,1780.47
2008-07-01,1777.66
2008-08-01,1781.04
2008-09-01,1787.65
2008-10-01,1793.68
2008-11-01,1797.31
2008-12-01,1796.6
2009-01-01,1795.07
2009-02-01,1795.59
2009-03-01,1795.98
2009-04-01,1795.56
2009-05-01,1792.34
2009-06-01,1786.92
2009-07-01,1784.98
2009-08-01,1788.82
2009-09-01,1794.81
2009-10-01,1798.04
2009-11-01,1797.89
2009-12-01,1796.69
2010-01-01,1797.13
2010-02-01,1798.77
2010-03-01,1799.47
2010-04-01,1799.65
2010-05-01,1797.71
2010-06-01,1792.56
2010-07-01,1789.48
2010-08-01,1794.08
2010-09-01,1801.82
2010-10-01,1806.56
2010-11-01,1807.05
2010-12-01,1803.62
2011-01-01,1800.47
2011-02-01,1800.17
2011-03-01,1800.98
2011-04-01,1802.9
2011-05-01,1803.31
2011-06-01,1799.16
2011-07-01,1796.22
2011-08-01,1799.05
2011-09-01,1804.06
2011-10-01,1809.6
2011-11-01,1812.39
2011-12-01,1810.04
2012-01-01,1807.38
2012-02-01,1808.36
2012-03-01,1810.05
2012-04-01,1808.49
2012-05-01,1804.75
2012-06-01,1801.01
2012-07-01,1799.4
2012-08-01,1803.29
2012-09-01,1810.15
2012-10-01,1814.85
2012-11-01,1815.95
2012-12-01,1814.58
2013-01-01,1814.06
2013-02-01,1814.14
2013-03-01,1813.25
2013-04-01,1812.83
2013-05-01,1811.94
2013-06-01,1808.57
2013-07-01,1805.78
2013-08-01,1808.39
2013-09-01,1814.31
2013-10-01,1818.6
2013-11-01,1820.35
2013-12-01,1819.32
2014-01-01,1816.85
2014-02-01,1816.4
2014-03-01,1818.14
2014-04-01,1820.9
2014-05-01,1821.9
2014-06-01,1818.34
2014-07-01,1815.55
2014-08-01,1819.72
2014-09-01,1826.86
2014-10-01,1831.24
2014-11-01,1833.06
2014-12-01,1833.54
2015-01-01,1833.09
2015-02-01,1832.98
2015-03-01,1833.2
2015-04-01,1833.16
2015-05-01,1831.66
2015-06-01,1827.24
2015-07-01,1824.72
2015-08-01,1829.15
2015-09-01,1836.24
2015-10-01,1841.43
2015-11-01,1844.68
2015-12-01,1844.89
2016-01-01,1842.42
2016-02-01,1841.63
2016-03-01,1842.99
2016-04-01,1843.75
2016-05-01,1842.12
2016-06-01,1837.84
2016-07-01,1834.18
2016-08-01,1836.68
2016-09-01,1844.17
2016-10-01,1849.88
2016-11-01,1851.43
2016-12-01,1851.05
2017-01-01,1849.69
2017-02-01,1848.38
2017-03-01,1848.18
2017-04-01,1848.55
2017-05-01,1847.13
2017-06-01,1842.94
2017-07-01,1840.41
2017-08-01,1844.61
2017-09-01,1852.69
2017-10-01,1857.99
2017-11-01,1858.51
2017-12-01,1856.5
2018-01-01,1854.44
2018-02-01,1854.97
2018-03-01,1856.87
2018-04-01,1856.69
2018-05-01,1854.8
2018-06-01,1852.01
2018-07-01,1849.11
2018-08-01,1851.92
2018-09-01,1860.47
2018-10-01,1865.77
2018-11-01,1866.26
2018-12-01,1866.02
2019-01-01,1864.98
2019-02-01,1865.02
2019-03-01,1866.32
2019-04-01,1865.31
2019-05-01,1861.96
2019-06-01,1858.79
2019-07-01,1858.26
2019-08-01,1862.91
2019-09-01,1870.78
2019-10-01,1875.4
2019-11-01,1875.56
2019-12-01,1874.67
2020-01-01,1873.14
2020-02-01,1872.74
2020-03-01,1874.72
2020-04-01,1875.88
2020-05-01,1874.31
2020-06-01,1871.87
2020-07-01,1871.51
2020-08-01,1876.53
2020-09-01,1884.66
2020-10-01,1890.11
2020-11-01,1891.92
2020-12-01,1891.78
2021-01-01,1889.49
2021-02-01,1887.53
2021-03-01,1888.7
2021-04-01,1891.24
2021-05-01,1891.61
2021-06-01,1888.45
2021-07-01,1886.38
2021-08-01,1892.61
2021-09-01,1902.62
2021-10-01,1908.0
2021-11-01,1909.53
2021-12-01,1908.72
2022-01-01,1907.33
2022-02-01,1907.69
2022-03-01,1908.97
2022-04-01,1909.38
2022-05-01,1907.72
2022-06-01,1905.23
2022-07-01,1904.44
2022-08-01,1908.73
2022-09-01,1915.45
2022-10-01,1919.97
2022-11-01,1923.63
2022-12-01,1924.77
2023-01-01,1922.25
2023-02-01,1920.35
2023-03-01,1920.64
2023-04-01,1922.2
