dt,temp
1963-08-01,14.115857142857132
1963-09-01,14.145657142857134
1963-10-01,14.170714285714277
1963-11-01,14.181714285714277
1963-12-01,14.180385714285705
1964-01-01,14.165628571428565
1964-02-01,14.141399999999992
1964-03-01,14.10904285714285
1964-04-01,14.081071428571422
1964-05-01,14.062928571428564
1964-06-01,14.061599999999993
1964-07-01,14.072585714285708
1964-08-01,14.08958571428571
1964-09-01,14.111971428571422
1964-10-01,14.131828571428565
1964-11-01,14.141099999999994
1964-12-01,14.137871428571422
1965-01-01,14.12345714285714
1965-02-01,14.096271428571423
1965-03-01,14.065214285714282
1965-04-01,14.037199999999995
1965-05-01,14.021328571428567
1965-06-01,14.018228571428567
1965-07-01,14.028271428571424
1965-08-01,14.049371428571426
1965-09-01,14.076442857142855
1965-10-01,14.10118571428571
1965-11-01,14.11488571428571
1965-12-01,14.11405714285714
1966-01-01,14.104771428571427
1966-02-01,14.084214285714284
1966-03-01,14.057171428571426
1966-04-01,14.032899999999998
1966-05-01,14.017842857142856
1966-06-01,14.014928571428571
1966-07-01,14.02615714285714
1966-08-01,14.046414285714285
1966-09-01,14.076914285714285
1966-10-01,14.096671428571428
1966-11-01,14.109914285714286
1966-12-01,14.108142857142857
1967-01-01,14.09437142857143
1967-02-01,14.066942857142859
1967-03-01,14.03807142857143
1967-04-01,14.012257142857143
1967-05-01,14.000642857142859
1967-06-01,13.998642857142858
1967-07-01,14.009228571428572
1967-08-01,14.03107142857143
1967-09-01,14.058257142857144
1967-10-01,14.08584285714286
1967-11-01,14.098000000000003
1967-12-01,14.096957142857145
1968-01-01,14.08037142857143
1968-02-01,14.055471428571432
1968-03-01,14.031771428571432
1968-04-01,14.006885714285717
1968-05-01,13.99184285714286
1968-06-01,13.990057142857145
1968-07-01,13.999500000000003
1968-08-01,14.020114285714287
1968-09-01,14.044871428571431
1968-10-01,14.071300000000003
1968-11-01,14.084571428571433
1968-12-01,14.082871428571433
1969-01-01,14.073628571428577
1969-02-01,14.050942857142863
1969-03-01,14.024642857142862
1969-04-01,14.003400000000006
1969-05-01,13.991400000000006
1969-06-01,13.987742857142862
1969-07-01,13.994771428571434
1969-08-01,14.014614285714291
1969-09-01,14.041542857142863
1969-10-01,14.067242857142864
1969-11-01,14.084014285714291
1969-12-01,14.090742857142864
1970-01-01,14.085171428571435
1970-02-01,14.070414285714293
1970-03-01,14.04768571428572
1970-04-01,14.025214285714291
1970-05-01,14.012300000000007
1970-06-01,14.01411428571429
1970-07-01,14.02935714285715
1970-08-01,14.053942857142863
1970-09-01,14.086885714285721
1970-10-01,14.115500000000006
1970-11-01,14.129528571428578
1970-12-01,14.131128571428578
1971-01-01,14.121028571428578
1971-02-01,14.098814285714292
1971-03-01,14.069585714285722
1971-04-01,14.045771428571436
1971-05-01,14.03265714285715
1971-06-01,14.030000000000006
1971-07-01,14.042171428571436
1971-08-01,14.063028571428578
1971-09-01,14.091285714285721
1971-10-01,14.11568571428572
1971-11-01,14.131071428571435
1971-12-01,14.130728571428577
1972-01-01,14.115942857142864
1972-02-01,14.091471428571433
1972-03-01,14.065685714285719
1972-04-01,14.04174285714286
1972-05-01,14.026800000000005
1972-06-01,14.026300000000004
1972-07-01,14.03661428571429
1972-08-01,14.063200000000004
1972-09-01,14.09191428571429
1972-10-01,14.11741428571429
1972-11-01,14.133071428571432
1972-12-01,14.140485714285719
1973-01-01,14.13151428571429
1973-02-01,14.113428571428576
1973-03-01,14.086114285714292
1973-04-01,14.066414285714291
1973-05-01,14.05551428571429
1973-06-01,14.05638571428572
1973-07-01,14.068528571428576
1973-08-01,14.090371428571434
1973-09-01,14.120300000000006
1973-10-01,14.146842857142863
1973-11-01,14.16445714285715
1973-12-01,14.167500000000008
1974-01-01,14.151700000000007
1974-02-01,14.126114285714293
1974-03-01,14.099028571428576
1974-04-01,14.075028571428577
1974-05-01,14.062942857142863
1974-06-01,14.062928571428577
1974-07-01,14.076314285714291
1974-08-01,14.099528571428579
1974-09-01,14.128171428571434
1974-10-01,14.153514285714293
1974-11-01,14.167457142857149
1974-12-01,14.168900000000006
1975-01-01,14.158328571428578
1975-02-01,14.135757142857148
1975-03-01,14.107471428571435
1975-04-01,14.083228571428577
1975-05-01,14.07305714285715
1975-06-01,14.071900000000007
1975-07-01,14.081614285714291
1975-08-01,14.099657142857149
1975-09-01,14.126142857142863
1975-10-01,14.146228571428576
1975-11-01,14.15561428571429
1975-12-01,14.152657142857146
1976-01-01,14.140042857142861
1976-02-01,14.115714285714288
1976-03-01,14.085328571428573
1976-04-01,14.061000000000002
1976-05-01,14.043542857142857
1976-06-01,14.040814285714285
1976-07-01,14.049657142857143
1976-08-01,14.069471428571429
1976-09-01,14.098114285714287
1976-10-01,14.122242857142858
1976-11-01,14.137214285714286
1976-12-01,14.14337142857143
1977-01-01,14.1394
1977-02-01,14.122071428571429
1977-03-01,14.098785714285716
1977-04-01,14.08097142857143
1977-05-01,14.073757142857145
1977-06-01,14.07837142857143
1977-07-01,14.093200000000001
1977-08-01,14.12004285714286
1977-09-01,14.15067142857143
1977-10-01,14.179285714285715
1977-11-01,14.2003
1977-12-01,14.205314285714287
1978-01-01,14.195628571428573
1978-02-01,14.176385714285715
1978-03-01,14.151371428571428
1978-04-01,14.129885714285715
1978-05-01,14.118557142857142
1978-06-01,14.114857142857142
1978-07-01,14.126771428571427
1978-08-01,14.145914285714285
1978-09-01,14.175785714285714
1978-10-01,14.197714285714284
1978-11-01,14.210914285714285
1978-12-01,14.209799999999998
1979-01-01,14.197785714285711
1979-02-01,14.17062857142857
1979-03-01,14.142585714285712
1979-04-01,14.119399999999997
1979-05-01,14.105328571428569
1979-06-01,14.10435714285714
1979-07-01,14.115228571428569
1979-08-01,14.138342857142854
1979-09-01,14.17008571428571
1979-10-01,14.198742857142852
1979-11-01,14.219257142857138
1979-12-01,14.231614285714281
1980-01-01,14.227042857142854
1980-02-01,14.212728571428569
1980-03-01,14.191357142857141
1980-04-01,14.173328571428568
1980-05-01,14.165142857142854
1980-06-01,14.163999999999996
1980-07-01,14.17998571428571
1980-08-01,14.206342857142852
1980-09-01,14.238371428571423
1980-10-01,14.266957142857137
1980-11-01,14.284442857142851
1980-12-01,14.286671428571422
1981-01-01,14.280957142857135
1981-02-01,14.263499999999993
1981-03-01,14.23994285714285
1981-04-01,14.219999999999992
1981-05-01,14.210228571428564
1981-06-01,14.21654285714285
1981-07-01,14.233285714285707
1981-08-01,14.262228571428565
1981-09-01,14.296457142857138
1981-10-01,14.325071428571421
1981-11-01,14.342828571428566
1981-12-01,14.351999999999995
1982-01-01,14.34531428571428
1982-02-01,14.326471428571423
1982-03-01,14.302871428571423
1982-04-01,14.282728571428567
1982-05-01,14.271928571428568
1982-06-01,14.273842857142853
1982-07-01,14.286999999999995
1982-08-01,14.31268571428571
1982-09-01,14.343028571428565
1982-10-01,14.36761428571428
1982-11-01,14.378828571428565
1982-12-01,14.382299999999994
1983-01-01,14.374642857142849
1983-02-01,14.354614285714277
1983-03-01,14.327228571428565
1983-04-01,14.302957142857135
1983-05-01,14.290957142857135
1983-06-01,14.28849999999999
1983-07-01,14.300471428571418
1983-08-01,14.325785714285706
1983-09-01,14.356885714285706
1983-10-01,14.382942857142849
1983-11-01,14.399057142857137
1983-12-01,14.40027142857142
1984-01-01,14.389728571428565
1984-02-01,14.366599999999993
1984-03-01,14.341128571428564
1984-04-01,14.319042857142849
1984-05-01,14.308828571428563
1984-06-01,14.310942857142846
1984-07-01,14.32072857142856
1984-08-01,14.344657142857132
1984-09-01,14.373571428571418
1984-10-01,14.39819999999999
1984-11-01,14.409842857142849
1984-12-01,14.41107142857142
1985-01-01,14.40057142857142
1985-02-01,14.375885714285706
1985-03-01,14.350257142857135
1985-04-01,14.327214285714277
1985-05-01,14.315357142857133
1985-06-01,14.31377142857142
1985-07-01,14.320428571428563
1985-08-01,14.341657142857134
1985-09-01,14.368014285714276
1985-10-01,14.387828571428562
1985-11-01,14.397714285714276
1985-12-01,14.394857142857132
1986-01-01,14.381085714285705
1986-02-01,14.359185714285704
1986-03-01,14.330342857142847
1986-04-01,14.307757142857133
1986-05-01,14.29279999999999
1986-06-01,14.288857142857134
1986-07-01,14.298285714285708
1986-08-01,14.320371428571422
1986-09-01,14.345985714285707
1986-10-01,14.370099999999994
1986-11-01,14.37748571428571
1986-12-01,14.374871428571424
1987-01-01,14.36148571428571
1987-02-01,14.340571428571424
1987-03-01,14.31271428571428
1987-04-01,14.287528571428567
1987-05-01,14.272285714285708
1987-06-01,14.269957142857137
1987-07-01,14.28391428571428
1987-08-01,14.308371428571425
1987-09-01,14.338557142857137
1987-10-01,14.361342857142851
1987-11-01,14.376857142857139
1987-12-01,14.38268571428571
1988-01-01,14.378885714285708
1988-02-01,14.361542857142853
1988-03-01,14.33831428571428
1988-04-01,14.319799999999994
1988-05-01,14.309914285714278
1988-06-01,14.313357142857136
1988-07-01,14.326885714285707
1988-08-01,14.352885714285707
1988-09-01,14.38517142857142
1988-10-01,14.408699999999993
1988-11-01,14.416999999999993
1988-12-01,14.415657142857135
1989-01-01,14.399614285714277
1989-02-01,14.37777142857142
1989-03-01,14.34947142857142
1989-04-01,14.326785714285705
1989-05-01,14.31174285714285
1989-06-01,14.307028571428562
1989-07-01,14.316671428571421
1989-08-01,14.340999999999992
1989-09-01,14.370328571428564
1989-10-01,14.396957142857135
1989-11-01,14.409299999999993
1989-12-01,14.414499999999993
1990-01-01,14.40454285714285
1990-02-01,14.385757142857138
1990-03-01,14.363757142857136
1990-04-01,14.347528571428565
1990-05-01,14.34024285714285
1990-06-01,14.34204285714285
1990-07-01,14.356357142857135
1990-08-01,14.38164285714285
1990-09-01,14.41437142857142
1990-10-01,14.446528571428562
1990-11-01,14.462685714285707
1990-12-01,14.468999999999992
1991-01-01,14.460957142857135
1991-02-01,14.444099999999992
1991-03-01,14.419542857142849
1991-04-01,14.401428571428564
1991-05-01,14.393528571428563
1991-06-01,14.396628571428563
1991-07-01,14.41267142857142
1991-08-01,14.439014285714277
1991-09-01,14.47254285714285
1991-10-01,14.499557142857135
1991-11-01,14.514814285714277
1991-12-01,14.515014285714278
1992-01-01,14.506485714285708
1992-02-01,14.486271428571422
1992-03-01,14.461914285714279
1992-04-01,14.440971428571421
1992-05-01,14.429885714285707
1992-06-01,14.429485714285708
1992-07-01,14.440699999999993
1992-08-01,14.461885714285707
1992-09-01,14.488314285714278
1992-10-01,14.511528571428563
1992-11-01,14.521257142857134
1992-12-01,14.52007142857142
1993-01-01,14.510914285714277
1993-02-01,14.490885714285705
1993-03-01,14.464714285714278
1993-04-01,14.440328571428562
1993-05-01,14.424671428571422
1993-06-01,14.422657142857135
1993-07-01,14.432428571428563
1993-08-01,14.45259999999999
1993-09-01,14.480557142857133
1993-10-01,14.502485714285706
1993-11-01,14.510728571428562
1993-12-01,14.508857142857133
1994-01-01,14.494728571428562
1994-02-01,14.467142857142846
1994-03-01,14.43889999999999
1994-04-01,14.414842857142848
1994-05-01,14.400828571428562
1994-06-01,14.399471428571418
1994-07-01,14.408871428571418
1994-08-01,14.429699999999992
1994-09-01,14.461799999999991
1994-10-01,14.489085714285705
1994-11-01,14.50844285714285
1994-12-01,14.509699999999993
1995-01-01,14.500957142857136
1995-02-01,14.485299999999992
1995-03-01,14.46327142857142
